                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8306,                  3.172,                 3.4927,                0.16303,                0.26052,                0.10421,                0.03325,                 2.3297,                 3.7044,                  2.878,               0.000663,               0.000663,               0.000663
                      2,                 1.8475,                 2.2553,                 2.3021,                0.43369,                0.43832,                0.38842,                0.16409,                 2.0157,                 2.4268,                 2.4327,              0.0013033,              0.0013033,              0.0013033
                      3,                 1.6591,                 1.9984,                 2.0748,                0.47341,                0.41727,                0.40123,                0.16082,                 1.9972,                 2.2708,                  2.308,              0.0019173,              0.0019173,              0.0019173
                      4,                 1.5409,                 1.8627,                 1.9497,                0.55251,                0.43106,                0.43074,                0.18118,                 1.9485,                 2.1609,                 2.2229,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.4666,                 1.7782,                  1.875,                 0.5194,                0.54572,                0.51691,                0.25825,                 1.6548,                 1.8198,                 1.9178,              0.0018416,              0.0018416,              0.0018416
                      6,                  1.412,                 1.6949,                 1.8151,                 0.4899,                0.53483,                0.47071,                0.24756,                 1.5153,                 1.8192,                 1.7968,               0.001802,               0.001802,               0.001802
                      7,                 1.3778,                 1.6474,                 1.7809,                0.55117,                0.54644,                 0.5382,                0.29798,                 1.5181,                 1.6905,                 1.7992,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.3494,                 1.6128,                 1.7643,                0.59935,                0.55515,                0.57188,                0.32869,                 1.4317,                 1.6465,                 1.6952,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.3222,                 1.5717,                   1.74,                0.63223,                0.56386,                0.60998,                0.32801,                 1.4997,                 1.6317,                 1.7507,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.3063,                 1.5464,                 1.7242,                0.64303,                0.56386,                 0.6104,                0.35519,                 1.4491,                 1.6309,                 1.7242,              0.0016436,              0.0016436,              0.0016436
                     11,                  1.284,                 1.5307,                  1.711,                 0.6695,                0.54538,                0.62184,                0.36913,                 1.4132,                 1.4688,                 1.6752,               0.001604,               0.001604,               0.001604
                     12,                 1.2546,                 1.4853,                 1.6843,                0.61127,                0.61736,                0.62584,                0.37568,                 1.4145,                 1.4518,                 1.6922,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.2474,                 1.4762,                 1.6747,                0.68805,                0.62102,                0.67816,                0.40679,                 1.3794,                 1.3894,                 1.6331,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.2279,                 1.4423,                 1.6558,                0.67205,                0.62917,                0.65214,                 0.4138,                 1.2907,                 1.3788,                  1.578,              0.0014852,              0.0014852,              0.0014852
                     15,                  1.216,                 1.4263,                  1.646,                0.68986,                 0.6328,                0.68805,                0.43051,                 1.2855,                 1.3427,                 1.5655,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.1928,                 1.4019,                 1.6248,                0.68778,                 0.6582,                0.70369,                0.43484,                 1.2887,                  1.297,                 1.5488,               0.001406,               0.001406,               0.001406
                     17,                 1.1743,                 1.3839,                 1.6179,                0.68771,                0.64151,                0.69159,                0.44379,                 1.2508,                    1.3,                 1.5344,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.1792,                 1.3738,                 1.6177,                0.73342,                0.64078,                0.70123,                0.44703,                 1.2712,                 1.2661,                 1.5356,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.1497,                 1.3502,                 1.5945,                0.72427,                0.66473,                0.72186,                0.47601,                 1.1985,                 1.2219,                 1.4795,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.1347,                 1.3271,                 1.5826,                0.75363,                0.63716,                0.72531,                0.47479,                 1.1793,                 1.2454,                 1.4684,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.1331,                 1.3147,                 1.5808,                0.70707,                0.65862,                0.71396,                0.46887,                 1.1722,                 1.2354,                 1.4516,               0.001208,               0.001208,               0.001208
                     22,                 1.1224,                 1.2975,                 1.5742,                0.74063,                 0.6341,                0.71254,                0.48198,                 1.1531,                 1.2138,                 1.4453,              0.0011684,              0.0011684,              0.0011684
                     23,                  1.111,                 1.3019,                 1.5646,                0.71149,                0.67925,                0.72982,                0.48421,                 1.1628,                 1.1836,                 1.4441,              0.0011288,              0.0011288,              0.0011288
