                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1559,                 3.1794,                 3.7807,                0.02465,                0.41074,                0.03039,                 0.0083,                 3.3044,                 3.8929,                 3.7258,             0.00065934,             0.00065934,             0.00065934
                      2,                 2.0638,                  2.351,                   2.52,                0.42327,                0.38187,                0.31559,                0.12486,                 2.3107,                 2.7692,                 2.5993,              0.0012604,              0.0012604,              0.0012604
                      3,                 1.7126,                 2.0269,                 2.1448,                0.41309,                0.35244,                0.30412,                0.10979,                 2.1912,                 3.3264,                 2.6227,              0.0017954,              0.0017954,              0.0017954
                      4,                 1.5867,                 1.8669,                 2.0019,                0.35713,                0.36938,                0.31541,                0.14365,                 1.8495,                 3.0663,                 2.2227,               0.001703,               0.001703,               0.001703
                      5,                 1.4862,                 1.7498,                 1.9036,                0.56069,                0.45383,                0.48735,                0.24436,                 1.6986,                 1.9055,                 1.9655,               0.001604,               0.001604,               0.001604
                      6,                 1.4299,                 1.6775,                 1.8522,                0.64409,                0.53266,                0.58188,                0.31557,                  1.599,                 1.6603,                 1.8352,               0.001505,               0.001505,               0.001505
                      7,                 1.3905,                  1.635,                 1.8172,                0.52652,                0.51379,                0.50349,                0.27672,                 1.6108,                 1.7988,                 1.8438,               0.001406,               0.001406,               0.001406
                      8,                 1.3544,                 1.5794,                 1.7858,                0.64181,                0.58515,                0.60649,                0.34592,                 1.5398,                 1.5373,                 1.7873,               0.001307,               0.001307,               0.001307
                      9,                 1.3333,                 1.5578,                 1.7624,                0.65737,                0.57475,                0.62005,                0.36585,                 1.4827,                 1.5152,                 1.7139,               0.001208,               0.001208,               0.001208
                     10,                 1.3044,                 1.5191,                 1.7393,                0.67437,                 0.6045,                0.64508,                0.39935,                 1.3744,                 1.4546,                 1.6776,               0.001109,               0.001109,               0.001109
                     11,                 1.2713,                 1.3488,                 1.7023,                0.69787,                0.60668,                0.68157,                0.44006,                 1.3377,                 1.3828,                 1.6171,                0.00101,                0.00101,                0.00101
                     12,                 1.2237,                 1.2719,                 1.6568,                0.65747,                0.59579,                0.65485,                0.40606,                 1.3469,                 1.5018,                  1.608,               0.000911,               0.000911,               0.000911
                     13,                 1.1761,                 1.2136,                 1.6161,                0.65307,                 0.6016,                0.65541,                0.41984,                  1.301,                 1.3899,                 1.5816,               0.000812,               0.000812,               0.000812
                     14,                 1.1511,                 1.1701,                 1.5947,                0.70444,                  0.614,                0.67754,                0.44254,                 1.2901,                 1.3267,                 1.5549,               0.000713,               0.000713,               0.000713
                     15,                 1.1121,                 1.1199,                 1.5553,                0.72693,                0.62784,                0.70115,                0.47602,                 1.2088,                 1.2583,                 1.5046,               0.000614,               0.000614,               0.000614
                     16,                 1.0916,                  1.086,                 1.5452,                0.72813,                 0.6553,                0.72043,                0.48472,                 1.2081,                 1.2241,                  1.484,               0.000515,               0.000515,               0.000515
                     17,                 1.0685,                 1.0463,                  1.525,                0.73618,                0.63584,                0.72602,                0.50226,                 1.1772,                 1.1879,                 1.4704,               0.000416,               0.000416,               0.000416
                     18,                 1.0468,                 1.0188,                 1.5056,                0.75189,                0.65094,                0.73722,                0.51397,                 1.1446,                 1.1577,                 1.4551,               0.000317,               0.000317,               0.000317
                     19,                 1.0244,                0.98519,                 1.4859,                0.73121,                0.67912,                 0.7417,                0.51685,                 1.1359,                 1.1339,                 1.4399,               0.000218,               0.000218,               0.000218
                     20,                 1.0016,                0.96049,                 1.4721,                0.76291,                0.68215,                0.75474,                0.52436,                 1.1232,                 1.1134,                 1.4176,               0.000119,               0.000119,               0.000119
